Date,Open,High,Low,Close,Volume
2016-07-18,203.05,207.7,203.05,205.42,2701
2016-07-19,203.53,207.65,203.53,205.9,1582
2016-07-20,206.19,212.2,206.19,211.33,5005
2016-07-21,213.18,215.64,212.35,214.91,5756
2016-07-22,211.38,217.67,211.23,215.64,4368
2016-07-25,212.54,217.05,212.54,216.08,3931
2016-07-26,214.53,218.01,211.91,215.11,5255
2016-07-27,216.86,219.18,212.3,214.87,4775
2016-07-28,214.14,216.56,212.64,213.65,4326
2016-07-29,214.14,217,213.7,215.98,6787
2016-08-01,211.23,216.08,211.23,215.11,5442
2016-08-02,212.84,214.62,212.06,213.85,3920
2016-08-03,214.14,214.67,212.59,214.62,2160
2016-08-04,212.25,215.54,212.25,215.45,2574
2016-08-05,215.06,216.08,213.7,215.79,1449
2016-08-08,216.56,216.56,213.85,214.96,854
2016-08-09,214.19,216.42,214.14,216.42,1848
2016-08-10,214.14,218.45,214.14,218.3,1669
2016-08-11,216.66,221.9,216.66,221.9,2804
2016-08-12,221.41,222.61,219.57,219.95,2527
2016-08-15,221.46,222.86,220.58,221.7,2430
2016-08-16,218.98,222.03,215.69,219.57,3023
2016-08-17,220.25,220.25,217.67,218.3,1719
2016-08-18,217.67,220.73,217.67,218.98,1421
2016-08-19,220.88,221.31,218.4,220,2973
2016-08-22,221.56,221.56,218.35,220,4385
2016-08-23,218.5,221.7,218.4,218.98,2670
2016-08-24,218.98,220.88,218.55,218.98,2666
2016-08-25,220.78,220.78,218.01,218.98,1970
2016-08-26,215.21,221.12,215.21,218.98,2799
2016-08-29,219.13,219.47,215.59,218.93,1566
2016-08-30,218.59,220.34,217.15,217.15,1048
2016-08-31,217.77,218.16,217.05,217.05,4101
2016-09-01,217.1,218.16,212.69,214.62,4330
2016-09-02,216.03,217.49,214.14,216.18,2745
2016-09-05,215.25,217.67,215.25,217.34,1487
2016-09-06,216.61,219.13,216.08,218.5,1758
2016-09-07,218.16,221.65,218.16,221.12,5018
2016-09-08,220.92,222.27,218.69,219.32,2198
2016-09-09,218.69,218.69,214.72,215.11,2209
2016-09-12,213.8,215.84,211.57,215.11,2074
2016-09-13,215.11,218.45,215.11,217.77,2164
2016-09-14,217.72,218.25,215.16,218.16,1250
2016-09-15,217.2,218.98,216.56,218.98,2673
2016-09-16,218.01,239.39,218.01,237.98,15800
2016-09-19,239.62,241.03,234.01,237.39,5124
2016-09-20,235.74,237.25,235.45,236.42,2684
2016-09-21,237.39,240.83,235.65,240.83,7886
2016-09-22,239.62,240.3,237.44,239.29,2969
2016-09-23,235.17,238.37,235.17,237.39,1599
2016-09-26,237.49,237.49,233.86,233.86,2912
2016-09-27,231.92,232.84,228.67,228.82,3043
